state,district,latitude,longitude,year,season,temperature,soil_type,pH,seasonal_rainfall,rice_area,rice_production,rice_yield,wheat_area,wheat_production,wheat_yield,maize_area,maize_production,maize_yield
Andhra Pradesh,ANANTAPUR,14.6783221,77.6065039,2002,Rabi       ,25.24,Red,5.92,21.87,10960,20462,1.866970803,362,333,0.919889503,1288,8933,6.935559006
Andhra Pradesh,ANANTAPUR,14.6783221,77.6065039,2003,Kharif     ,28.46,Red,5.92,308.44,17515,44891,2.56300314,37.45584915,23.56093737,0.629032258,6246,10718,1.715978226
Andhra Pradesh,ANANTAPUR,14.6783221,77.6065039,2003,Rabi       ,25.99,Red,5.92,34.48,10826,25463,2.352022908,414,123,0.297101449,1212,6787,5.599834983
Andhra Pradesh,ANANTAPUR,14.6783221,77.6065039,2004,Kharif     ,27.16,Red,5.92,297.95,24335,85051,3.495007191,38.19610987,24.02658524,0.629032258,3495,10031,2.870100143
Andhra Pradesh,ANANTAPUR,14.6783221,77.6065039,2004,Rabi       ,25.61,Red,5.92,18.8,9240,21622,2.34004329,393,88,0.223918575,3572,25822,7.229003359
Andhra Pradesh,ANANTAPUR,14.6783221,77.6065039,2005,Kharif     ,26.75,Red,5.92,678.2,25008,69972,2.797984645,18.65497489,11.73458098,0.629032258,5958,21538,3.614971467
Andhra Pradesh,ANANTAPUR,14.6783221,77.6065039,2005,Rabi       ,25.25,Red,5.92,46.86,23142,55587,2.40199637,297,175,0.589225589,1435,10721,7.471080139
Andhra Pradesh,ANANTAPUR,14.6783221,77.6065039,2006,Kharif     ,27.69,Red,5.92,299.9,22349,67427,3.017002998,28.22646236,17.75535535,0.629032258,4877,20181,4.137994669
Andhra Pradesh,ANANTAPUR,14.6783221,77.6065039,2006,Rabi       ,24.94,Red,5.92,143.74,10846,31974,2.947999262,190,50,0.263157895,3120,23640,7.576923077
Andhra Pradesh,ANANTAPUR,14.6783221,77.6065039,2007,Kharif     ,26.27,Red,5.92,724.99,30000,95000,3.166666667,25.86270132,16.26847341,0.629032258,7000,32000,4.571428571
Andhra Pradesh,ANANTAPUR,14.6783221,77.6065039,2007,Rabi       ,25.08,Red,5.92,23.93,14000,37000,2.642857143,373.049521,234.6601826,0.629032258,6000,48000,8
Andhra Pradesh,ANANTAPUR,14.6783221,77.6065039,2008,Kharif     ,27.03,Red,5.92,511.11,30306,94615,3.121989045,33.97279407,21.36998336,0.629032258,6041,20896,3.459029962
Andhra Pradesh,ANANTAPUR,14.6783221,77.6065039,2008,Rabi       ,25,Red,5.92,162.75,18416,49815,2.704984796,164,217,1.323170732,3658,32300,8.829961728
Andhra Pradesh,ANANTAPUR,14.6783221,77.6065039,2009,Kharif     ,27.42,Red,5.92,439.94,32226,101512,3.150003103,39.28601991,24.71217382,0.629032258,8852,43924,4.962042476
Andhra Pradesh,ANANTAPUR,14.6783221,77.6065039,2009,Rabi       ,25.49,Red,5.92,82.28,19428,46899,2.413990117,179,97,0.541899441,4615,33736,7.31007584
Andhra Pradesh,ANANTAPUR,14.6783221,77.6065039,2010,Kharif     ,26.86,Red,5.92,545.26,34973,102007,2.916735768,28.01940171,17.62510752,0.629032258,10726,51174,4.771023681
Andhra Pradesh,ANANTAPUR,14.6783221,77.6065039,2010,Rabi       ,25.67,Red,5.92,162.13,24828,69394,2.794989528,131,171,1.305343511,4750,43306,9.117052632
Andhra Pradesh,ANANTAPUR,14.6783221,77.6065039,2011,Kharif     ,27.82,Red,5.92,386.44,37720,94531,2.506124072,21.59899004,13.58646147,0.629032258,25447,63465,2.494007152
Andhra Pradesh,ANANTAPUR,14.6783221,77.6065039,2011,Rabi       ,25.49,Red,5.92,32.74,10948,25542,2.333028864,75,100,1.333333333,6208,48168,7.759020619
Andhra Pradesh,ANANTAPUR,14.6783221,77.6065039,2012,Kharif     ,28.05,Red,5.92,360.83,22056,58691,2.660999275,31.32116817,19.70202514,0.629032258,22039,63516,2.881981941
Andhra Pradesh,ANANTAPUR,14.6783221,77.6065039,2012,Rabi       ,25.99,Red,5.92,50.11,6998,17768,2.539011146,134,151,1.126865672,7070,50098,7.085997171
Andhra Pradesh,ANANTAPUR,14.6783221,77.6065039,2013,Kharif     ,26.87,Red,5.92,432.78,28114,59377,2.112008252,16.74537251,10.53337948,0.629032258,27087,53226,1.965001661
Andhra Pradesh,ANANTAPUR,14.6783221,77.6065039,2013,Rabi       ,25.56,Red,5.92,24.66,12283,28558,2.325002035,62,39,0.629032258,7777,57970,7.454031117
Andhra Pradesh,ANANTAPUR,14.6783221,77.6065039,2013,Whole Year ,27.36,Red,5.92,579.49,,,,62,39,0.629032258,,,
Andhra Pradesh,ANANTAPUR,14.6783221,77.6065039,2014,Kharif     ,27.91,Red,5.92,405.34,22658,68155,3.007988348,39.43064581,24.80314817,0.629032258,16839,42687,2.535008017
Andhra Pradesh,ANANTAPUR,14.6783221,77.6065039,2014,Rabi       ,25.11,Red,5.92,42.05,6553,14377,2.193956966,320.4625959,201.5813103,0.629032258,4474,31618,7.06705409
Andhra Pradesh,ANANTAPUR,14.6783221,77.6065039,2014,Whole Year ,27.56,Red,5.92,533.08,29211,82532,2.825374003,342.9912353,215.7525512,0.629032258,,,
Andhra Pradesh,CHITTOOR,13.325036,79.6480611,1997,Kharif     ,28.15,Red,5.59,432.68,42300,84400,1.995271868,0.427262984,0.189216464,0.442857143,100,300,3
Andhra Pradesh,CHITTOOR,13.325036,79.6480611,1997,Rabi       ,24.41,Red,5.59,621.43,57400,137400,2.393728223,6.412094073,2.839641661,0.442857143,,,
Andhra Pradesh,CHITTOOR,13.325036,79.6480611,1998,Kharif     ,27.39,Red,5.59,557.36,42000,105400,2.50952381,0.696560561,0.30847682,0.442857143,100,300,3
Andhra Pradesh,CHITTOOR,13.325036,79.6480611,1998,Rabi       ,24.72,Red,5.59,319.67,62400,159200,2.551282051,5.835150491,2.584138075,0.442857143,100,300,3
Andhra Pradesh,CHITTOOR,13.325036,79.6480611,1999,Kharif     ,27.42,Red,5.59,499.76,37542,75477,2.010468276,0.347319354,0.153812857,0.442857143,181,514,2.839779006
Andhra Pradesh,CHITTOOR,13.325036,79.6480611,1999,Rabi       ,24.64,Red,5.59,167.74,37489,76800,2.048600923,4.900163011,2.170072191,0.442857143,67,324,4.835820896
Andhra Pradesh,CHITTOOR,13.325036,79.6480611,2000,Kharif     ,26.96,Red,5.59,627.81,33776,89236,2.641994315,0.271901883,0.120413691,0.442857143,357,930,2.605042017
Andhra Pradesh,CHITTOOR,13.325036,79.6480611,2000,Rabi       ,24.96,Red,5.59,240.66,41442,97181,2.344988176,5,3,0.6,56,302,5.392857143
Andhra Pradesh,CHITTOOR,13.325036,79.6480611,2001,Kharif     ,27.65,Red,5.59,608.67,24377,55311,2.268983058,0.327144746,0.144878388,0.442857143,294,786,2.673469388
Andhra Pradesh,CHITTOOR,13.325036,79.6480611,2001,Rabi       ,24.93,Red,5.59,253.44,62049,170573,2.749004819,5.54914686,2.457479324,0.442857143,81,524,6.469135802
Andhra Pradesh,CHITTOOR,13.325036,79.6480611,2002,Kharif     ,28.27,Red,5.59,524.13,20137,50020,2.483984705,0.622381078,0.275625906,0.442857143,261,253,0.969348659
Andhra Pradesh,CHITTOOR,13.325036,79.6480611,2002,Rabi       ,23.9,Red,5.59,209.92,30034,76827,2.558000932,5,7,1.4,284,1968,6.929577465
Andhra Pradesh,CHITTOOR,13.325036,79.6480611,2003,Kharif     ,27.79,Red,5.59,586.48,18495,38562,2.084995945,0.733754866,0.324948584,0.442857143,742,1273,1.715633423
Andhra Pradesh,CHITTOOR,13.325036,79.6480611,2003,Rabi       ,24.34,Red,5.59,130.19,27286,46714,1.712013487,7,2,0.285714286,392,2195,5.599489796
Andhra Pradesh,CHITTOOR,13.325036,79.6480611,2004,Kharif     ,26.89,Red,5.59,630.13,19055,43331,2.273996326,0.412912679,0.182861329,0.442857143,509,1461,2.870333988
Andhra Pradesh,CHITTOOR,13.325036,79.6480611,2004,Rabi       ,24.54,Red,5.59,160.6,25822,69177,2.678994656,4.611379118,2.042182181,0.442857143,354,2559,7.228813559
Andhra Pradesh,CHITTOOR,13.325036,79.6480611,2005,Kharif     ,27.56,Red,5.59,800.93,16240,37173,2.288977833,0.484777906,0.214687358,0.442857143,417,2150,5.1558753
Andhra Pradesh,CHITTOOR,13.325036,79.6480611,2005,Rabi       ,23.92,Red,5.59,418.35,66351,193612,2.917996714,4.068414077,1.801726234,0.442857143,356,2660,7.471910112
Andhra Pradesh,CHITTOOR,13.325036,79.6480611,2006,Kharif     ,27.89,Red,5.59,579.64,17049,42520,2.493987917,0.314960753,0.139482619,0.442857143,386,1378,3.569948187
Andhra Pradesh,CHITTOOR,13.325036,79.6480611,2006,Rabi       ,24.11,Red,5.59,256.83,29164,85101,2.918015361,4,1,0.25,788,5971,7.577411168
Andhra Pradesh,CHITTOOR,13.325036,79.6480611,2007,Kharif     ,26.72,Red,5.59,863.09,15000,42000,2.8,0.487852463,0.216048948,0.442857143,1000,3000,3
Andhra Pradesh,CHITTOOR,13.325036,79.6480611,2007,Rabi       ,23.57,Red,5.59,168.59,37000,116000,3.135135135,4.180728047,1.851465278,0.442857143,1000,4000,4
Andhra Pradesh,CHITTOOR,13.325036,79.6480611,2008,Kharif     ,27.22,Red,5.59,598.69,17596,46242,2.627983633,0.584906997,0.259030242,0.442857143,843,3937,4.670225386
Andhra Pradesh,CHITTOOR,13.325036,79.6480611,2008,Rabi       ,23.26,Red,5.59,445.81,37927,118636,3.12800907,4.811455757,2.130787549,0.442857143,957,8450,8.829676071
Andhra Pradesh,CHITTOOR,13.325036,79.6480611,2009,Kharif     ,27.84,Red,5.59,482.9,19758,56192,2.844012552,0.666339098,0.295093029,0.442857143,1326,4915,3.706636501
Andhra Pradesh,CHITTOOR,13.325036,79.6480611,2009,Rabi       ,23.87,Red,5.59,361.26,35155,113937,3.240989902,5.600795306,2.480352207,0.442857143,611,4466,7.309328969
Andhra Pradesh,CHITTOOR,13.325036,79.6480611,2010,Kharif     ,27.05,Red,5.59,650.6,18019,53639,2.976802264,0.406183321,0.179881185,0.442857143,970,4969,5.122680412
Andhra Pradesh,CHITTOOR,13.325036,79.6480611,2010,Rabi       ,24.16,Red,5.59,349.37,43558,131502,3.019009137,5.996779404,2.655716593,0.442857143,539,4914,9.116883117
Andhra Pradesh,CHITTOOR,13.325036,79.6480611,2011,Kharif     ,27.77,Red,5.59,615.59,17342,55719,3.212951217,0.652382179,0.288912108,0.442857143,930,3084,3.316129032
Andhra Pradesh,CHITTOOR,13.325036,79.6480611,2011,Rabi       ,23.2,Red,5.59,252.56,33764,113211,3.353009122,4.662435137,2.064792704,0.442857143,877,6805,7.75940707
Andhra Pradesh,CHITTOOR,13.325036,79.6480611,2012,Kharif     ,27.99,Red,5.59,588.02,12952,45241,3.492974058,0.394164052,0.174558366,0.442857143,1078,4375,4.058441558
Andhra Pradesh,CHITTOOR,13.325036,79.6480611,2012,Rabi       ,24.04,Red,5.59,163.92,34557,126168,3.651011373,5.547486512,2.456744027,0.442857143,547,3876,7.085923218
Andhra Pradesh,CHITTOOR,13.325036,79.6480611,2013,Kharif     ,26.89,Red,5.59,655.63,15206,48766,3.207023543,0.319876242,0.141659479,0.442857143,1905,7683,4.033070866
Andhra Pradesh,CHITTOOR,13.325036,79.6480611,2013,Rabi       ,24.09,Red,5.59,133.75,34654,120249,3.469989034,4.099724607,1.815592326,0.442857143,1303,9713,7.454336147
Andhra Pradesh,CHITTOOR,13.325036,79.6480611,2014,Kharif     ,27.83,Red,5.59,533.35,13304,44462,3.342002405,0.253681135,0.112344503,0.442857143,2693,8820,3.275157817
Andhra Pradesh,CHITTOOR,13.325036,79.6480611,2014,Rabi       ,24.02,Red,5.59,163.94,27661,87962,3.180000723,5.860773133,2.595485244,0.442857143,984,6429,6.533536585
Andhra Pradesh,CHITTOOR,13.325036,79.6480611,2014,Whole Year ,26.87,Red,5.59,773.59,40965,132424,3.232613206,5.49455257,2.433301852,0.442857143,,,
Andhra Pradesh,EAST GODAVARI,16.9956639,81.7154378,1997,Kharif     ,28.07,Alluvial,7.77,773.79,214100,429300,2.005137786,20.66858624,13.7790575,0.666666667,1600,2900,1.8125
Andhra Pradesh,EAST GODAVARI,16.9956639,81.7154378,1997,Rabi       ,24.87,Alluvial,7.77,199.76,154400,491500,3.183290155,200.3870173,133.5913449,0.666666667,3600,13700,3.805555556
Andhra Pradesh,EAST GODAVARI,16.9956639,81.7154378,1998,Kharif     ,27.94,Alluvial,7.77,1338.49,256300,386600,1.508388607,16.44540555,10.9636037,0.666666667,1700,3600,2.117647059
Andhra Pradesh,EAST GODAVARI,16.9956639,81.7154378,1998,Rabi       ,24.89,Alluvial,7.77,238.8,157600,656600,4.166243655,178.5734691,119.0489794,0.666666667,3800,18700,4.921052632
Andhra Pradesh,EAST GODAVARI,16.9956639,81.7154378,1999,Kharif     ,27.62,Alluvial,7.77,689.96,244655,628606,2.569356849,10.97251852,7.315012345,0.666666667,1522,4324,2.840998686
Andhra Pradesh,EAST GODAVARI,16.9956639,81.7154378,1999,Rabi       ,24.9,Alluvial,7.77,38.41,161551,645162,3.993550024,131.8351446,87.89009638,0.666666667,4266,20652,4.841068917
Andhra Pradesh,EAST GODAVARI,16.9956639,81.7154378,2000,Kharif     ,27.48,Alluvial,7.77,747.82,253966,683423,2.691001945,20.03811079,13.35874053,0.666666667,1406,3661,2.603840683
Andhra Pradesh,EAST GODAVARI,16.9956639,81.7154378,2000,Rabi       ,25.04,Alluvial,7.77,57.61,162861,683202,4.195000645,168.5257996,112.3505331,0.666666667,4108,22117,5.383885102
Andhra Pradesh,EAST GODAVARI,16.9956639,81.7154378,2001,Kharif     ,27.91,Alluvial,7.77,682.97,220811,579850,2.626001422,18.26879923,12.17919948,0.666666667,1204,3218,2.672757475
Andhra Pradesh,EAST GODAVARI,16.9956639,81.7154378,2001,Rabi       ,25.36,Alluvial,7.77,104.12,165779,750150,4.525000151,198.7683824,132.512255,0.666666667,2597,16810,6.472853292
Andhra Pradesh,EAST GODAVARI,16.9956639,81.7154378,2002,Kharif     ,28.5,Alluvial,7.77,639.42,194809,551115,2.82900174,19.46041919,12.97361279,0.666666667,1423,1379,0.96907941
Andhra Pradesh,EAST GODAVARI,16.9956639,81.7154378,2002,Rabi       ,25.21,Alluvial,7.77,92.82,106427,491906,4.622003815,177.0133203,118.0088802,0.666666667,5975,41407,6.930041841
Andhra Pradesh,EAST GODAVARI,16.9956639,81.7154378,2003,Kharif     ,27.78,Alluvial,7.77,945.64,234673,762453,3.249001803,18.16540281,12.11026854,0.666666667,2116,3631,1.715973535
Andhra Pradesh,EAST GODAVARI,16.9956639,81.7154378,2003,Rabi       ,24.79,Alluvial,7.77,134.9,165321,869092,5.256996994,151.3264651,100.8843101,0.666666667,6392,35795,5.599968711
Andhra Pradesh,EAST GODAVARI,16.9956639,81.7154378,2004,Kharif     ,27.38,Alluvial,7.77,878.35,224521,743614,3.312001995,9.103525863,6.069017242,0.666666667,1881,5556,2.953748006
Andhra Pradesh,EAST GODAVARI,16.9956639,81.7154378,2004,Rabi       ,24.63,Alluvial,7.77,21.21,162903,766296,4.704001768,164.9882194,109.9921462,0.666666667,6094,41080,6.741056777
Andhra Pradesh,EAST GODAVARI,16.9956639,81.7154378,2005,Kharif     ,27.93,Alluvial,7.77,1279.2,217411,348727,1.603998878,12.25512714,8.170084759,0.666666667,1763,6308,3.577992059
Andhra Pradesh,EAST GODAVARI,16.9956639,81.7154378,2005,Rabi       ,24.83,Alluvial,7.77,48.21,170012,800927,4.711002753,162.0875974,108.0583983,0.666666667,7838,59349,7.571957132
Andhra Pradesh,EAST GODAVARI,16.9956639,81.7154378,2006,Kharif     ,27.69,Alluvial,7.77,1259.24,227930,547716,2.403000921,23.21086271,15.47390847,0.666666667,1735,4757,2.741786744
Andhra Pradesh,EAST GODAVARI,16.9956639,81.7154378,2006,Rabi       ,24.92,Alluvial,7.77,101.09,168963,845829,5.006001314,144.1223731,96.08158206,0.666666667,6191,61867,9.993054434
Andhra Pradesh,EAST GODAVARI,16.9956639,81.7154378,2007,Kharif     ,27.27,Alluvial,7.77,1160.1,242000,715000,2.954545455,9.57489202,6.383261347,0.666666667,2000,6000,3
Andhra Pradesh,EAST GODAVARI,16.9956639,81.7154378,2007,Rabi       ,24.66,Alluvial,7.77,18.69,169000,803000,4.75147929,149.0044025,99.33626833,0.666666667,6000,49000,8.166666667
Andhra Pradesh,EAST GODAVARI,16.9956639,81.7154378,2008,Kharif     ,27.29,Alluvial,7.77,836.31,240231,716609,2.982999696,13.61013295,9.073421964,0.666666667,1602,5154,3.217228464
Andhra Pradesh,EAST GODAVARI,16.9956639,81.7154378,2008,Rabi       ,24.72,Alluvial,7.77,260.84,169861,796648,4.68999947,188.1612094,125.4408062,0.666666667,6581,49107,7.461935876
Andhra Pradesh,EAST GODAVARI,16.9956639,81.7154378,2009,Kharif     ,28.14,Alluvial,7.77,576.2,202153,616567,3.050001731,18.12810141,12.08540094,0.666666667,983,3547,3.608341811
Andhra Pradesh,EAST GODAVARI,16.9956639,81.7154378,2009,Rabi       ,25.11,Alluvial,7.77,93.65,104423,456537,4.371996591,200.7131257,133.8087505,0.666666667,8005,59821,7.472954403
Andhra Pradesh,EAST GODAVARI,16.9956639,81.7154378,2010,Kharif     ,27.22,Alluvial,7.77,1384.3,237640,457704,1.926039387,19.96797722,13.31198481,0.666666667,469,1399,2.982942431
Andhra Pradesh,EAST GODAVARI,16.9956639,81.7154378,2010,Rabi       ,25.01,Alluvial,7.77,331.5,172888,849917,4.91599764,161.867208,107.911472,0.666666667,7463,54704,7.330028139
Andhra Pradesh,EAST GODAVARI,16.9956639,81.7154378,2011,Kharif     ,27.79,Alluvial,7.77,721.42,197445,589741,2.986862164,22.5354496,15.02363306,0.666666667,468,1727,3.69017094
Andhra Pradesh,EAST GODAVARI,16.9956639,81.7154378,2011,Rabi       ,24.84,Alluvial,7.77,62.79,139649,587084,4.203997164,137.2315135,91.48767564,0.666666667,8067,54017,6.696045618
Andhra Pradesh,EAST GODAVARI,16.9956639,81.7154378,2012,Kharif     ,27.48,Alluvial,7.77,1143.94,232300,355651,1.530998709,8.964512054,5.976341369,0.666666667,495,1938,3.915151515
Andhra Pradesh,EAST GODAVARI,16.9956639,81.7154378,2012,Rabi       ,24.9,Alluvial,7.77,274.42,168756,746239,4.42199981,129.3159249,86.21061658,0.666666667,9485,71659,7.55498155
Andhra Pradesh,EAST GODAVARI,16.9956639,81.7154378,2013,Kharif     ,27.1,Alluvial,7.77,1163.89,235159,434104,1.846002067,20.96346286,13.97564191,0.666666667,513,1626,3.169590643
Andhra Pradesh,EAST GODAVARI,16.9956639,81.7154378,2013,Rabi       ,24.79,Alluvial,7.77,142.18,169523,777602,4.586999994,167.577167,111.7181113,0.666666667,10684,92096,8.619992512
Andhra Pradesh,EAST GODAVARI,16.9956639,81.7154378,2014,Kharif     ,27.65,Alluvial,7.77,623.09,226072,681833,3.015999328,11.34081101,7.560540674,0.666666667,755,2500,3.311258278
Andhra Pradesh,EAST GODAVARI,16.9956639,81.7154378,2014,Rabi       ,24.98,Alluvial,7.77,53.49,168045,881396,5.244999851,171.6075074,114.4050049,0.666666667,12156,98257,8.083004278
Andhra Pradesh,EAST GODAVARI,16.9956639,81.7154378,2014,Whole Year ,27.65,Alluvial,7.77,809.5,394117,1563229,3.966408452,135.7229154,90.48194358,0.666666667,,,
Andhra Pradesh,GUNTUR,16.2915189,80.4541588,1997,Kharif     ,28.65,Black,8.14,884.51,295000,845300,2.865423729,5.144177613,6.6993941,1.302325581,1700,3100,1.823529412
Andhra Pradesh,GUNTUR,16.2915189,80.4541588,1997,Rabi       ,25.79,Black,8.14,273.87,14500,51800,3.572413793,41.61083191,54.19085086,1.302325581,5000,19000,3.8
Andhra Pradesh,GUNTUR,16.2915189,80.4541588,1998,Kharif     ,28.59,Black,8.14,964.35,298400,921400,3.087801609,3.788391272,4.933718866,1.302325581,2300,4700,2.043478261
Andhra Pradesh,GUNTUR,16.2915189,80.4541588,1998,Rabi       ,25.37,Black,8.14,122.16,29100,99900,3.432989691,37.8790119,49.3308062,1.302325581,2800,14100,5.035714286
Andhra Pradesh,GUNTUR,16.2915189,80.4541588,1999,Kharif     ,28.51,Black,8.14,549,302886,969414,3.200590321,4.86021515,6.329582521,1.302325581,3853,10946,2.840903192
Andhra Pradesh,GUNTUR,16.2915189,80.4541588,1999,Rabi       ,25.47,Black,8.14,21.48,14822,53167,3.587032789,39.43476535,51.35690371,1.302325581,3755,18178,4.841011984
Andhra Pradesh,GUNTUR,16.2915189,80.4541588,2000,Kharif     ,27.36,Black,8.14,912.49,292899,987363,3.371001608,2.526894653,3.290839548,1.302325581,5281,13752,2.604052263
Andhra Pradesh,GUNTUR,16.2915189,80.4541588,2000,Rabi       ,25.93,Black,8.14,98.64,12692,49600,3.907973527,33.14455227,43.16499831,1.302325581,4516,24314,5.383968113
Andhra Pradesh,GUNTUR,16.2915189,80.4541588,2001,Kharif     ,28.5,Black,8.14,668.64,272468,935110,3.431999354,6.286159958,8.186626921,1.302325581,2549,6814,2.673205179
Andhra Pradesh,GUNTUR,16.2915189,80.4541588,2001,Rabi       ,26.22,Black,8.14,88.41,44917,181060,4.030990494,53.54138182,69.72831121,1.302325581,4369,28281,6.473105974
Andhra Pradesh,GUNTUR,16.2915189,80.4541588,2002,Kharif     ,29.11,Black,8.14,635.32,202953,646811,3.18699896,5.158740675,6.718359949,1.302325581,2327,2255,0.969058874
Andhra Pradesh,GUNTUR,16.2915189,80.4541588,2002,Rabi       ,25.63,Black,8.14,116.29,2716,7385,2.719072165,36.95944501,48.13323071,1.302325581,6450,44699,6.930077519
Andhra Pradesh,GUNTUR,16.2915189,80.4541588,2003,Kharif     ,28.56,Black,8.14,704.95,170487,482990,2.83300193,6.317458423,8.227387713,1.302325581,3891,6677,1.716011308
Andhra Pradesh,GUNTUR,16.2915189,80.4541588,2003,Rabi       ,25.37,Black,8.14,147.89,5772,16837,2.917013167,50.19177332,65.36603037,1.302325581,22949,128514,5.59998257
Andhra Pradesh,GUNTUR,16.2915189,80.4541588,2004,Kharif     ,28.32,Black,8.14,652.55,240404,833961,3.46899802,5.232627813,6.814585059,1.302325581,2749,8121,2.954165151
Andhra Pradesh,GUNTUR,16.2915189,80.4541588,2004,Rabi       ,25.36,Black,8.14,36.45,21247,70922,3.337977126,41.69352676,54.29854647,1.302325581,32788,279714,8.530986946
Andhra Pradesh,GUNTUR,16.2915189,80.4541588,2005,Kharif     ,28.43,Black,8.14,1067.16,288879,892636,3.089999619,3.320638716,4.324552746,1.302325581,1617,5786,3.578231293
Andhra Pradesh,GUNTUR,16.2915189,80.4541588,2005,Rabi       ,25.48,Black,8.14,68.44,31434,111559,3.548991538,32.58688682,42.43873633,1.302325581,22565,237023,10.50401064
Andhra Pradesh,GUNTUR,16.2915189,80.4541588,2006,Kharif     ,28.46,Black,8.14,1130.08,288638,783941,2.716000665,6.031190305,7.854573421,1.302325581,1132,3104,2.74204947
Andhra Pradesh,GUNTUR,16.2915189,80.4541588,2006,Rabi       ,25.22,Black,8.14,143.47,28933,100947,3.488991809,41.85902828,54.51408334,1.302325581,34010,280276,8.240987945
Andhra Pradesh,GUNTUR,16.2915189,80.4541588,2007,Kharif     ,27.49,Black,8.14,1029.42,283000,976000,3.448763251,3.020162469,3.933234843,1.302325581,1000,3000,3
Andhra Pradesh,GUNTUR,16.2915189,80.4541588,2007,Rabi       ,24.87,Black,8.14,22.84,24000,85000,3.541666667,37.9936809,49.48014257,1.302325581,58000,517000,8.913793103
Andhra Pradesh,GUNTUR,16.2915189,80.4541588,2008,Kharif     ,27.94,Black,8.14,821.66,281491,959321,3.407998835,4.640644146,6.043629586,1.302325581,784,2522,3.216836735
Andhra Pradesh,GUNTUR,16.2915189,80.4541588,2008,Rabi       ,25.29,Black,8.14,321.57,51358,187662,3.65399743,34.6607378,45.13956551,1.302325581,95547,950884,9.952002679
Andhra Pradesh,GUNTUR,16.2915189,80.4541588,2009,Kharif     ,28.87,Black,8.14,562.92,190526,683226,3.585998761,5.833441422,7.597039991,1.302325581,530,1912,3.60754717
Andhra Pradesh,GUNTUR,16.2915189,80.4541588,2009,Rabi       ,25.95,Black,8.14,146.73,112342,383423,3.41299781,49.66980387,64.6862562,1.302325581,68798,529745,7.700005814
Andhra Pradesh,GUNTUR,16.2915189,80.4541588,2010,Kharif     ,27.79,Black,8.14,1166.58,271072,649760,2.397001535,5.243690711,6.828992553,1.302325581,269,802,2.981412639
Andhra Pradesh,GUNTUR,16.2915189,80.4541588,2010,Rabi       ,26.16,Black,8.14,198.7,58393,201806,3.455996438,43,56,1.302325581,80083,904377,11.29299602
Andhra Pradesh,GUNTUR,16.2915189,80.4541588,2011,Kharif     ,28.81,Black,8.14,582.25,281790,1080921,3.83590972,4.008000071,5.219721023,1.302325581,792,2922,3.689393939
Andhra Pradesh,GUNTUR,16.2915189,80.4541588,2011,Rabi       ,25.52,Black,8.14,64.81,11012,39060,3.547039593,46.28456809,60.27757705,1.302325581,70965,627331,8.840005637
Andhra Pradesh,GUNTUR,16.2915189,80.4541588,2012,Kharif     ,28.81,Black,8.14,892.12,174699,607778,3.479001025,4.661621266,6.070948626,1.302325581,1103,4319,3.915684497
Andhra Pradesh,GUNTUR,16.2915189,80.4541588,2012,Rabi       ,25.35,Black,8.14,196.55,8362,29903,3.576058359,46.86604232,61.03484581,1.302325581,82043,662579,8.075996733
